ticker,regime,boot_id,n,AIC_Normal,BIC_Normal,logL_Normal,AIC_StudentT,BIC_StudentT,logL_StudentT,nu_hat,AIC_PearsonVII,BIC_PearsonVII,logL_PearsonVII,m_hat,scale_hat,Best_AIC
HON,Medium,5,2067,5771.581747952743,5771.581747952743,-2885.7908739763716,5703.803406186327,5709.437259746009,-2850.9017030931636,13.728534424853597,5572.023411445853,5583.2911185652165,-2784.0117057229263,2.603641194182808,1.487295327815183,PearsonVII
HON,High,1,2069,5821.107727817562,5821.107727817562,-2910.553863908781,5782.307729414404,5787.94255009215,-2890.153864707202,15.614098589224643,5707.061085402847,5718.330726758339,-2851.5305427014237,3.1731648408191213,1.8273550117913808,PearsonVII
HON,High,2,2069,5829.072648331486,5829.072648331486,-2914.536324165743,5785.206040600196,5790.840861277941,-2891.603020300098,14.591619257344606,5704.47741682569,5715.747058181181,-2850.238708412845,3.1288975163125508,1.8049030238024077,PearsonVII
HON,High,3,2069,5814.412816399872,5814.412816399872,-2907.206408199936,5765.363815673467,5770.998636351213,-2881.6819078367334,14.481045220278695,5673.890075518883,5685.159716874375,-2834.9450377594417,2.9591443088497993,1.7084618233916677,PearsonVII
HON,High,4,2069,5818.374375349296,5818.374375349296,-2909.187187674648,5755.180155915235,5760.814976592981,-2876.5900779576177,13.06312511605688,5646.869994265205,5658.139635620696,-2821.4349971326023,2.8466640097588107,1.6406989929526767,PearsonVII
HON,High,5,2069,5805.159375166477,5805.159375166477,-2902.5796875832384,5741.0264940489515,5746.661314726697,-2869.5132470244757,12.856525848370246,5622.003580024322,5633.273221379814,-2809.001790012161,2.7804324391643394,1.5969530207076155,PearsonVII
HPQ,Low,1,2105,5911.99261905638,5911.99261905638,-2955.99630952819,5831.730588105963,5837.38265885208,-2914.8652940529814,11.612917709993921,5687.146609592632,5698.450751084864,-2841.573304796316,2.632797302463119,1.5074316893978108,PearsonVII
HPQ,Low,2,2105,5964.98168552087,5964.98168552087,-2982.490842760435,5868.962472407058,5874.614543153175,-2933.481236203529,11.3871247709776,5749.647381459952,5760.951522952185,-2872.823690729976,2.825528258208695,1.6316530355066514,PearsonVII
HPQ,Low,3,2105,5840.675912612626,5840.675912612626,-2920.337956306313,5783.380128929871,5789.032199675988,-2890.6900644649354,12.932126376465146,5618.2031413655895,5629.507282857822,-2807.1015706827948,2.4800905270337097,1.4009877654113925,PearsonVII
HPQ,Low,4,2105,5901.161601268128,5901.161601268128,-2950.580800634064,5826.096955098781,5831.749025844898,-2912.0484775493906,12.354878958849214,5690.274146604156,5701.578288096389,-2843.137073302078,2.6742694186876115,1.530571398047385,PearsonVII
